frame,player_x_16,player_y_16,anim,camera_x_16,life_1f80,filename
867,3254,1183,144,35840,1,f00867.png
868,3254,1183,144,35840,1,f00868.png
869,3630,1183,158,36352,1,f00869.png
870,4006,1183,161,36608,1,f00870.png
880,7766,1183,170,40448,1,f00880.png
900,15286,1176,164,47872,1,f00900.png
920,22806,1169,173,55552,1,f00920.png
921,23182,1169,173,55808,1,f00921.png
922,23558,1168,176,56320,1,f00922.png
923,23934,1168,176,56576,1,f00923.png
924,24310,1168,179,56832,1,f00924.png
925,24686,1167,179,57344,1,f00925.png
926,25062,1167,179,57600,1,f00926.png
927,25438,1167,182,58112,1,f00927.png
928,25814,1167,182,58368,1,f00928.png
929,26190,1167,182,58880,1,f00929.png
930,26566,1167,185,59136,1,f00930.png
931,26942,1167,185,59648,1,f00931.png
932,27318,1167,185,59904,1,f00932.png
933,27694,1167,158,60416,1,f00933.png
934,28070,1167,158,60672,1,f00934.png
935,28446,1167,161,61184,1,f00935.png
936,28822,1167,161,61440,1,f00936.png
937,29198,1167,164,61952,1,f00937.png
938,29574,1167,164,62208,1,f00938.png
939,29950,1167,164,62464,1,f00939.png
940,30326,1167,167,62976,1,f00940.png
941,30702,1162,190,63232,1,f00941.png
942,31078,1162,209,63744,1,f00942.png
943,31454,1163,209,64000,1,f00943.png
944,31830,1163,209,64512,1,f00944.png
945,32206,1164,212,64768,1,f00945.png
946,32582,1166,212,65280,1,f00946.png
947,32958,1167,212,0,1,f00947.png
948,33334,1167,212,512,1,f00948.png
949,33710,1166,158,768,1,f00949.png
950,34086,1166,161,1280,1,f00950.png
951,34462,1166,161,1536,1,f00951.png
952,34838,1165,164,2048,1,f00952.png
953,35214,1165,164,2304,1,f00953.png
954,35590,1164,164,2816,1,f00954.png
955,35966,1164,167,3072,1,f00955.png
956,36342,1164,167,3328,1,f00956.png
957,36718,1163,167,3840,1,f00957.png
958,37094,1163,170,4096,1,f00958.png
959,37470,1163,170,4608,1,f00959.png
960,37846,1162,170,4864,1,f00960.png
961,38222,1162,173,5376,1,f00961.png
962,38598,1162,173,5632,1,f00962.png
963,38974,1161,176,6144,1,f00963.png
964,39350,1161,176,6400,1,f00964.png
965,39726,1160,179,6912,1,f00965.png
966,40102,1160,179,7168,1,f00966.png
967,40478,1160,179,7680,1,f00967.png
968,40854,1159,182,7936,1,f00968.png
969,41230,1159,182,8448,1,f00969.png
970,41606,1159,182,8704,1,f00970.png
971,41982,1158,185,8960,1,f00971.png
972,42358,1158,185,9472,1,f00972.png
973,42734,1158,185,9728,1,f00973.png
974,43110,1157,158,10240,1,f00974.png
975,43486,1157,158,10496,1,f00975.png
976,43862,1156,161,11008,1,f00976.png
977,44238,1156,161,11264,1,f00977.png
978,44102,1156,164,11264,1,f00978.png
979,44102,1156,79,11264,1,f00979.png
980,43964,1154,79,11008,1,f00980.png
981,43826,1153,79,11008,1,f00981.png
982,43688,1151,79,10752,1,f00982.png
983,43550,1150,82,10752,1,f00983.png
984,43412,1150,85,10496,1,f00984.png
985,43274,1149,88,10496,1,f00985.png
986,43136,1149,88,10240,1,f00986.png
987,42998,1149,91,9984,1,f00987.png
988,42860,1149,91,9984,1,f00988.png
989,42722,1150,94,9728,1,f00989.png
990,42584,1150,94,9728,1,f00990.png
1000,41204,1159,103,8192,1,f01000.png
1001,41066,1159,103,8192,1,f01001.png
1002,40928,1159,103,7936,1,f01002.png
1003,40790,1159,103,7936,1,f01003.png
1004,40652,1160,103,7680,1,f01004.png
1005,40514,1160,103,7680,1,f01005.png
1006,40376,1160,103,7424,1,f01006.png
1007,40238,1160,103,7424,1,f01007.png
1008,40100,1160,106,7168,1,f01008.png
1009,40100,1160,106,7168,1,f01009.png
1010,40100,1160,120,7168,1,f01010.png
1011,40356,1160,144,7424,1,f01011.png
1012,40612,1160,144,7680,1,f01012.png
1013,40868,1159,144,7936,1,f01013.png
1014,41124,1159,144,8192,1,f01014.png
1015,41124,1159,144,8192,1,f01015.png
1016,41500,1159,158,8704,1,f01016.png
1017,41876,1158,161,8960,1,f01017.png
1018,42252,1158,161,9472,1,f01018.png
1019,42628,1158,164,9728,1,f01019.png
1020,43004,1157,164,9984,1,f01020.png
1021,43380,1152,190,10496,1,f01021.png
1022,43756,1152,209,10752,1,f01022.png
1023,44132,1153,209,11264,1,f01023.png
1024,44508,1154,209,11520,1,f01024.png
1025,44884,1155,212,12032,1,f01025.png
1026,45260,1155,212,12288,1,f01026.png
1027,45636,1155,158,12800,1,f01027.png
1028,46012,1154,161,13056,1,f01028.png
1029,46388,1154,161,13568,1,f01029.png
1030,46764,1154,164,13824,1,f01030.png
1031,47140,1153,164,14336,1,f01031.png
1032,47516,1153,164,14592,1,f01032.png
1033,47892,1152,167,15104,1,f01033.png
1034,48268,1152,167,15360,1,f01034.png
1035,48644,1152,167,15872,1,f01035.png
1036,49020,1151,170,16128,1,f01036.png
1037,48764,1152,170,15872,1,f01037.png
1038,47996,1152,120,15104,1,f01038.png
1039,47228,1153,120,14336,1,f01039.png
1040,46460,1154,120,13568,1,f01040.png
1041,45692,1155,120,12800,1,f01041.png
1042,44924,1155,120,12032,1,f01042.png
1043,44156,1156,120,11264,1,f01043.png
1044,43388,1157,120,10496,1,f01044.png
1045,42620,1158,120,9728,1,f01045.png
1046,41852,1158,120,8960,1,f01046.png
1047,41084,1159,120,8192,1,f01047.png
1048,40316,1160,120,7424,1,f01048.png
1049,39548,1161,120,6656,1,f01049.png
1050,39548,1161,120,6656,1,f01050.png
1051,39548,1161,120,6656,1,f01051.png
1052,39548,1161,120,6656,1,f01052.png
1053,39548,1161,120,6656,1,f01053.png
1054,39548,1161,120,6656,1,f01054.png
1055,39548,1161,120,6656,1,f01055.png
1056,39548,1161,120,6656,1,f01056.png
1057,39804,1160,144,6912,1,f01057.png
1058,40060,1160,144,7168,1,f01058.png
1059,40572,1160,144,7680,1,f01059.png
1060,40828,1159,144,7936,1,f01060.png
1080,47972,1152,179,15104,1,f01080.png
1100,49852,1151,120,16896,1,f01100.png
1120,50366,1151,120,17408,1,f01120.png
1140,50366,1151,120,17408,1,f01140.png
1160,50230,1151,120,17408,1,f01160.png
1180,50230,1151,120,17408,1,f01180.png
1200,50232,1151,120,17408,1,f01200.png
