frame,player_x_16,player_y_16,anim,camera_x_16,life_1f80,filename
80,39680,671,173,6912,2,f00080.png
100,47200,671,167,14336,2,f00100.png
120,54720,671,173,21760,2,f00120.png
140,62240,671,167,29440,2,f00140.png
160,4224,671,170,36864,2,f00160.png
180,11368,673,209,44032,2,f00180.png
200,18632,740,215,51200,2,f00200.png
220,18496,768,163,51200,2,f00220.png
240,18496,768,79,51200,2,f00240.png
260,18496,768,79,51200,2,f00260.png
280,18496,768,79,51200,2,f00280.png
300,18496,768,79,51200,2,f00300.png
320,18496,768,79,51200,2,f00320.png
340,18496,768,79,51200,2,f00340.png
360,18496,768,79,51200,2,f00360.png
380,18496,768,79,51200,2,f00380.png
400,18496,768,79,51200,2,f00400.png
420,18496,768,79,51200,1,f00420.png
440,18496,768,79,51200,1,f00440.png
460,0,0,0,0,1,f00460.png
480,0,0,0,0,1,f00480.png
500,0,0,0,0,1,f00500.png
520,32768,1024,0,0,1,f00520.png
540,32768,1024,0,0,1,f00540.png
560,32768,1024,0,0,1,f00560.png
580,32768,1024,0,0,1,f00580.png
600,32768,1024,0,0,1,f00600.png
620,32768,1024,0,0,1,f00620.png
640,32768,1024,0,0,1,f00640.png
660,32768,1024,0,0,1,f00660.png
680,32768,1024,0,0,1,f00680.png
700,32768,1064,69,0,1,f00700.png
720,32768,1183,83,0,1,f00720.png
740,37552,1183,170,4608,1,f00740.png
760,45072,1183,170,12288,1,f00760.png
780,52592,1183,164,19712,1,f00780.png
800,60112,1183,173,27136,1,f00800.png
801,60488,1183,173,27648,1,f00801.png
802,60864,1183,176,27904,1,f00802.png
803,61240,1183,176,28416,1,f00803.png
804,61616,1183,179,28672,1,f00804.png
805,61992,1183,179,29184,1,f00805.png
806,62368,1183,179,29440,1,f00806.png
807,62744,1183,182,29952,1,f00807.png
808,63120,1183,182,30208,1,f00808.png
809,63496,1183,182,30720,1,f00809.png
810,63872,1183,185,30976,1,f00810.png
811,64248,1183,185,31232,1,f00811.png
812,64624,1183,185,31744,1,f00812.png
813,65000,1183,158,32000,1,f00813.png
814,65376,1183,158,32512,1,f00814.png
815,216,1183,161,32768,1,f00815.png
816,592,1183,161,33280,1,f00816.png
817,968,1183,164,33536,1,f00817.png
818,1344,1183,164,34048,1,f00818.png
819,1720,1183,164,34304,1,f00819.png
820,2096,1183,167,34816,1,f00820.png
821,2472,1178,190,35072,1,f00821.png
822,2848,1178,209,35584,1,f00822.png
823,3224,1178,209,35840,1,f00823.png
824,3600,1179,209,36352,1,f00824.png
825,3976,1180,212,36608,1,f00825.png
826,4352,1181,212,37120,1,f00826.png
827,4728,1183,212,37376,1,f00827.png
828,5104,1183,212,37632,1,f00828.png
829,5480,1183,158,38144,1,f00829.png
830,5856,1183,161,38400,1,f00830.png
831,6232,1183,161,38912,1,f00831.png
832,6232,1183,79,38912,1,f00832.png
833,6094,1181,79,38656,1,f00833.png
834,5956,1179,79,38656,1,f00834.png
835,5818,1178,79,38400,1,f00835.png
836,5680,1177,82,38400,1,f00836.png
837,5542,1176,85,38144,1,f00837.png
838,5404,1176,88,38144,1,f00838.png
839,5266,1176,88,37888,1,f00839.png
840,5128,1176,91,37888,1,f00840.png
841,4990,1176,91,37632,1,f00841.png
842,4852,1176,94,37376,1,f00842.png
843,4714,1177,94,37376,1,f00843.png
844,4576,1178,97,37120,1,f00844.png
845,4438,1179,97,37120,1,f00845.png
846,4300,1181,100,36864,1,f00846.png
847,4162,1183,100,36864,1,f00847.png
848,4024,1183,103,36608,1,f00848.png
849,3886,1183,103,36608,1,f00849.png
850,3748,1183,103,36352,1,f00850.png
851,3610,1183,103,36352,1,f00851.png
852,3472,1183,103,36096,1,f00852.png
853,3334,1183,103,36096,1,f00853.png
854,3196,1183,103,35840,1,f00854.png
855,3058,1183,103,35584,1,f00855.png
856,2920,1183,103,35584,1,f00856.png
857,2782,1183,103,35328,1,f00857.png
858,2644,1183,103,35328,1,f00858.png
859,2506,1183,103,35072,1,f00859.png
860,2368,1183,103,35072,1,f00860.png
861,2230,1183,106,34816,1,f00861.png
862,2230,1183,106,34816,1,f00862.png
863,2230,1183,120,34816,1,f00863.png
864,2486,1183,144,35072,1,f00864.png
865,2742,1183,144,35328,1,f00865.png
866,2998,1183,144,35584,1,f00866.png
